"","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig","pct_in","pct_out"
"AL627309.1",33.9897057922887,-0.405835063579096,0.265358813221222,0.0770150865127942,0.139859397107234,"Not significant",10.6239460370995,7.67912238601303
"AL627309.5",25.8529221001818,-0.920071015125242,0.370590909469349,0.00293886716010979,0.00842681488856743,"Significant",6.57672849915683,6.79693749285796
"AP006222.2",3.20604364676263,-0.602567038120685,0.688101930745937,0.146093143288604,0.234603385202002,"Not significant",0.843170320404722,1.03531025025711
"AC114498.1",2.23696989516979,0.340995041848312,0.559337888930357,0.476900595321283,0.571173593763267,"Not significant",1.18043844856661,0.557650554222375
"AL669831.2",1.95037809858781,-0.340863899679641,0.71392170771036,0.550510442746917,0.632791984995612,"Not significant",0.505902192242833,0.603359616043881
"LINC01409",724.260894640931,0.190641917243168,0.0974169451787555,0.0256797812882849,0.0557873229358705,"Not significant",85.8347386172007,47.8048223060222
"FAM87B",2.85898261392611,0.633002933369501,0.644901518270618,0.180287416306616,0.27674006650469,"Not significant",2.02360876897133,0.55993600731345
"LINC01128",185.343245567113,0.0385163583335186,0.115031449938541,0.719159553144744,0.775622846247093,"Not significant",44.5193929173693,25.825619929151
"LINC00115",25.7048903733309,0.0544765408179164,0.341480318985304,0.65544128909935,0.720974831007361,"Not significant",11.6357504215852,5.92389441206719
"FAM41C",0.526771426722098,-0.871590593448398,1.1532225742369,0.0271920440973063,0.058568644452654,"Not significant",0,0.26282710547366
"AL645608.6",3.1721461636772,0.17591179969776,0.481276365603738,0.379424262342016,0.484371398734489,"Not significant",1.18043844856661,0.646783224774311
"SAMD11",19.4903776024822,-0.848022539967651,0.607500921440312,0.0669743025056779,0.124889101879427,"Not significant",3.54131534569983,4.79488058507599
"NOC2L",108.535216610737,0.278371126972626,0.15650157593611,0.0576216911237473,0.110248989689603,"Not significant",37.6053962900506,18.7521426122729
"KLHL17",17.4081193980708,0.319290895179348,0.276628109616488,0.118813654646946,0.198496409235376,"Not significant",7.41989881956155,3.47160324534339
"AL645608.7",8.15281050350433,-0.266602636247742,0.420164591236642,0.206453070234936,0.307375552758836,"Not significant",3.70994940978078,2.39515483944692
"HES4",162.68273311213,0.101783341236942,0.264038506780883,0.679739638684219,0.741412589983822,"Not significant",48.7352445193929,24.6074734316078
"ISG15",24.6924005963039,-0.395335184321066,0.281354965236789,0.069806121851878,0.129082802202509,"Not significant",8.60033726812816,5.6359273225917
"AL645608.1",1.20343731536395,-0.438463309947146,0.711931515573832,0.194088909862648,0.293265026883655,"Not significant",0.337268128161889,0.427379728031082
"AGRN",21.4872259987248,0.356318469750714,0.226066586292914,0.0454062150603179,0.0903019126993545,"Not significant",9.61214165261383,4.31950634213233
"C1orf159",388.945705467983,0.0438889417855268,0.120193816889098,0.61511730162,0.687445445808189,"Not significant",71.8381112984823,37.4951434121815
"AL390719.3",32.3797110634535,0.201735088768723,0.360160941685009,0.507355697762137,0.597043770824288,"Not significant",14.5025295109612,7.04605187978517
"TTLL10",2.01787142758864,-1.31412798849248,0.885462704783571,5.48325926170039e-05,0.00022908586240601,"Significant",0.337268128161889,0.806764941149583
"TNFRSF4",1.08554743116205,-0.205492374166556,0.665923914085102,1,1,"Not significant",0.337268128161889,0.30167980802194
