"","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig","pct_in","pct_out"
"MIR1302-2HG",1.48662259952345,0.428272628511367,0.718458178450584,0.410526581998845,0.450599711517583,"Not significant",0.105580693815988,0.222705339625643
"AL627309.1",103.294565241053,1.33403554263947,0.32886793862975,1.94536844862314e-05,3.75248945764324e-05,"Significant",5.32428355957768,8.13934991250862
"AL627309.5",292.64488289378,4.08060548695874,0.410260108366152,1.41699844240872e-19,6.67719822257166e-19,"Significant",16.0633484162896,5.16464287608039
"AP006222.2",6.50288906115573,-0.281647748955001,0.583486345449235,0.4922210371821,0.529864554409475,"Not significant",0.256410256410256,1.16920303303463
"AC114498.1",2.29464742011233,-0.845415031524094,0.648140003257224,0.0195270929718011,0.0268149795709924,"Significant",0.0754147812971342,0.652208494617954
"AL669831.2",5.09465259719098,-0.0847799190714609,0.668270613951231,0.213435107729552,0.249280434938327,"Not significant",0.150829562594268,0.681372289092741
"LINC01409",860.325031423895,-0.477869266845,0.155039046660928,0.00181813930324174,0.00285828850006521,"Significant",27.3755656108597,51.9937430404581
"FAM87B",6.09975842461184,1.17385548114302,0.593533830092183,0.00965359515436269,0.0138265474228636,"Significant",0.392156862745098,0.612439683970518
"LINC01128",313.107303091972,0.322856966767271,0.308574478210768,0.271741979030372,0.310355848690371,"Not significant",10.5279034690799,28.8085264330028
"LINC00115",48.3193551239186,0.625196756018712,0.303322540786928,0.029343401134875,0.0393616561545169,"Significant",3.07692307692308,6.51413118405006
"FAM41C",1.38737414982495,-0.238835498017477,0.629914800994053,0.674633020250521,0.701639946601623,"Not significant",0.0603318250377074,0.294289198791028
"AL645608.6",2.65646214269616,-1.55980351221749,0.69028886132699,7.56963791056786e-07,1.65167295282659e-06,"Significant",0.0754147812971342,0.755607402301289
"SAMD11",20.6551509669664,-3.40848334851723,0.589048070655839,8.33235714210321e-12,2.58234913064569e-11,"Significant",0.24132730015083,5.57558725277056
"NOC2L",164.995433108063,0.327570066592346,0.153459650600195,0.0244173098450557,0.0331251141467712,"Significant",8.58220211161388,20.8362055252134
"KLHL17",19.3444207011869,-0.545936189638101,0.262323805150633,0.0106685554425273,0.0151893279706003,"Significant",0.889894419306184,3.98748608091627
"PLEKHN1",0.749304619839891,-1.77113536889191,1.1809240934798,0.0150671396416302,0.0210077435361119,"Significant",0.0150829562594268,0.381780582215388
"AL645608.7",7.9657571656997,-4.28748720837696,0.994458547133985,2.48875551169696e-12,7.97495143939639e-12,"Significant",0.0603318250377074,2.82623681001114
"HES4",127.601790347917,-4.67201453035401,0.389042391037165,1.19857966179175e-37,1.06989707441156e-36,"Significant",1.44796380090498,29.0577443130601
"ISG15",36.2617352462224,0.116707685527476,0.330742314385146,0.656905106304493,0.685213918433781,"Not significant",1.80995475113122,6.35505594146031
"AL645608.1",1.42788368077175,-1.5519701865412,0.938704628675689,0.000201878562503686,0.000352654028338758,"Significant",0.0301659125188537,0.495784506071372
"AGRN",18.1414311974919,-2.20613647788684,0.345118140380041,3.70779386487354e-21,1.86924614377907e-20,"Significant",0.377073906485671,5.09571027095816
"C1orf159",423.256586677462,-1.37768968159833,0.148884602943729,1.85040950434389e-20,9.06072892999407e-20,"Significant",9.7737556561086,42.9078954345405
"AL390719.3",32.2904467810146,-1.48639885111373,0.431880181379133,0.000167017368280803,0.000294471741813083,"Significant",0.81447963800905,8.25865634445092
"LINC01342",1.47111693488199,-0.180973787964202,0.703874334670096,1,1,"Not significant",0.0603318250377074,0.286335436661541
"TTLL10",5.03110285156705,-0.678707885910448,0.474682386497006,0.0919464578133929,0.114352485761445,"Not significant",0.150829562594268,0.914682644891033
"TNFRSF4",4.31232544170101,2.07693983447543,0.505735001898385,3.86341426420758e-07,8.63004239381908e-07,"Significant",0.407239819004525,0.283684182618379
"SDF4",210.114996069848,-0.274387811690719,0.175367822029192,0.107091469487712,0.131764410821234,"Not significant",9.92458521870287,29.7523728723686
"B3GALT6",27.708877956879,0.756788470909481,0.186437413220055,2.48181106128496e-06,5.19221749680133e-06,"Significant",1.93061840120664,3.70380189829789
"C1QTNF12",3.8381569141004,0.0986043982360218,0.461134436513657,0.795570987630509,0.813829113570054,"Not significant",0.226244343891403,0.787422450819237
"AL162741.1",0.595152627602171,-0.0899490057418532,0.742760530663409,1,1,"Not significant",0.0301659125188537,0.119306431942309
"UBE2J2",280.599885699355,0.801430730882027,0.103097300013177,6.91813488547417e-16,2.71110187531748e-15,"Significant",15.8974358974359,26.8810647436237
"LINC01786",31.0797892894101,-1.18683131654346,0.206639842713341,7.01657446653382e-17,2.89000656609657e-16,"Significant",1.07088989441931,7.51100270427912
"SCNN1D",25.4100378963888,-1.96271619425276,0.297865393392801,4.40895076879094e-17,1.83733223375876e-16,"Significant",0.754147812971342,7.17959594888382
"ACAP3",379.156985178158,-2.94611085583293,0.20060904115871,3.74914951820075e-47,4.40073363627359e-46,"Significant",5.49019607843137,49.1012248793679
"PUSL1",9.67936410475177,-0.453175688319838,0.30017263010746,0.0259363298048016,0.0350672651043409,"Significant",0.422322775263952,2.13691075878891
"INTS11",145.287306014653,-0.523566810074772,0.116685030273152,8.64306918585961e-07,1.87643680319192e-06,"Significant",6.54600301659125,25.3300811283737
"CPTP",15.6239084643643,-0.163250520303227,0.236234094792452,0.298450260778256,0.337692341605627,"Not significant",0.799396681749623,2.93493822578079
"DVL1",72.4492221593021,-1.34639050357279,0.195192070264526,1.0121364334233e-13,3.53055356059794e-13,"Significant",2.39819004524887,16.1196245824275
"MXRA8",10.7554212006997,-3.44692198360352,0.6376807228862,6.91112822686969e-15,2.57306765252871e-14,"Significant",0.120663650075415,3.2027148841402
"AURKAIP1",61.8340824361161,0.574558973435085,0.365134203677917,0.0915743834298585,0.1139001279219,"Not significant",4.6606334841629,11.0981494246779
"CCNL2",585.734691295252,0.102746122067782,0.0564621902378053,0.0683681151532848,0.0868134717342297,"Not significant",26.4253393665158,54.3613129010022
"MRPL20-AS1",24.9648433675373,1.47291488384411,0.210159076666489,7.60047419609114e-14,2.66529548264777e-13,"Significant",2.2473604826546,2.7228379023278
"MRPL20",231.063456340613,0.911003825229295,0.131201244611975,1.51245832759167e-12,4.9193216547482e-12,"Significant",14.3891402714932,24.3809321809216
"AL391244.2",12.3849832731096,-0.144430873269962,0.251205474326729,0.0233774771470207,0.0317935087792192,"Significant",0.723981900452489,2.60088021634233
"ANKRD65",17.1419082499553,-1.0490966488014,0.353675709207172,0.000305763365514426,0.000524124597704412,"Significant",0.920060331825038,4.92603001219577
"AL391244.1",0.993986824698982,-0.761509827805381,0.793501992523234,0.0311762358204792,0.0416441355864681,"Significant",0.0301659125188537,0.265125404316242
"TMEM88B",4.38954635485464,-1.69667590274926,0.56653619646872,1.89011554402843e-08,4.68178170576151e-08,"Significant",0.165912518853695,1.34153454584018
"LINC01770",1.71619937883233,0.0825589283450071,0.567756614319261,0.794731776792039,0.813062111427769,"Not significant",0.105580693815988,0.323452993265815
"VWA1",58.0675236392371,-0.910413727579359,0.276930007646354,0.000444289822329081,0.000747488717362465,"Significant",3.24283559577677,12.797603266345
"ATAD3C",18.8819261373791,-0.201474285210511,0.318848043611499,0.327023872190813,0.366676978482189,"Not significant",1.0105580693816,3.74357070894533
"ATAD3B",148.954874132723,-0.0133725495991326,0.109797584170573,0.800538363160086,0.818296774033949,"Not significant",7.55656108597285,20.9714194814147
"ATAD3A",85.1161604026294,-0.455390832554388,0.124175008638238,4.37621468299429e-05,8.1637666920195e-05,"Significant",3.63499245852187,14.3273768492497
"TMEM240",52.9361215081596,-3.77156079224167,0.420852508725753,4.80027935279318e-22,2.50855977902002e-21,"Significant",0.648567119155354,15.6291425844424
"SSU72",288.373176239921,0.859015715216267,0.0701960447819485,4.59561600788866e-41,4.56532443842661e-40,"Significant",16.9079939668175,27.8434699612917
"AL645728.1",23.3430561648894,-1.03676508443352,0.349267495447418,0.000725237838600407,0.00119208019999883,"Significant",0.708898944193062,5.22297046502996
"FNDC10",7.58325014926337,-1.07563944533255,0.409902798417291,0.000492999130852281,0.000824556915421176,"Significant",0.24132730015083,1.79755024126412
"AL691432.4",11.4821706036507,-1.90987257802713,0.524100858765026,7.58558503522436e-06,1.51984703764881e-05,"Significant",0.256410256410256,3.39625642929105
"AL691432.2",32.381852954953,-1.33454152177977,0.239696250510833,5.63845384332149e-12,1.76611990345581e-11,"Significant",1.20663650075415,8.29312264701204
"MIB2",123.770960455555,-0.959991500464864,0.145923819851645,2.68958736425788e-12,8.60434545673634e-12,"Significant",4.3288084464555,22.4190041889814
"MMP23B",4.98226968817859,-1.16762990469983,0.443896797222838,1.22289504214138e-08,3.07346175184953e-08,"Significant",0.196078431372549,1.40781589691924
"CDK11B",231.727919192769,0.432810678914745,0.111277959626018,8.10248415322976e-05,0.000147175166610704,"Significant",13.2579185520362,26.4011877618113
"FO704657.1",39.2896884427639,-0.488122143606384,0.326921678424919,0.108217561812795,0.133053899521848,"Not significant",1.84012066365008,7.70189299538682
"SLC35E2B",252.302312566635,-0.426561646367811,0.123131894955603,0.000270639715755623,0.000466467480008697,"Significant",10.6033182503771,33.2944482740336
"CDK11A",256.496953080717,0.705199554193213,0.196624911989624,0.000256143656262903,0.000442601051447123,"Significant",15.7466063348416,26.5417042260989
"SLC35E2A",204.345098324747,-0.21622154536381,0.202887348348137,0.263969953102956,0.302276733720743,"Not significant",9.63800904977376,26.8412959329763
"NADK",202.422620563811,0.0565872366162668,0.104804480507069,0.530973104966726,0.56681597129167,"Not significant",9.35143288084465,24.6381038231083
"GNB1",2904.78196042852,0.760731838847946,0.120242454590949,2.74764772359793e-10,7.73669304831008e-10,"Significant",72.8808446455505,77.4378280926878
"AL109917.1",2.17738978083333,-1.03164027881454,0.688921871491588,0.00715293193853145,0.0104328091937764,"Significant",0.0603318250377074,0.570019619279919
"CALML6",2.15513543461636,-1.56924475852879,0.778175067178961,1.26960779593656e-05,2.49234535588323e-05,"Significant",0.0452488687782805,0.678721035049578
"TMEM52",2.38438618692887,-1.39593404026353,0.747915820090884,0.000575481313978667,0.000955016106827112,"Significant",0.0603318250377074,0.80067872103505
"CFAP74",365.717312536888,1.77565717565075,0.213695385725868,1.46472135153142e-16,5.93966608420182e-16,"Significant",21.3122171945701,17.5539530197784
"AL391845.2",2.66237058173104,-2.6014672598151,0.959478472408807,4.54119185621752e-08,1.091735019351e-07,"Significant",0.0452488687782805,0.925287661063683
"GABRD",101.289591266832,-2.91308578801225,0.378239060200884,1.52321758776389e-14,5.57070017115045e-14,"Significant",2.27752639517345,21.3505488095869
