"","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig","pct_in","pct_out"
"AL627309.1",70.2576292626814,-0.278924019262613,0.224955549278237,0.20177308634204,0.238904462668443,"Not significant",2.92383871728366,8.85239502592985
"AL627309.5",55.2821925839412,-0.72687501374086,0.268607632612171,0.00457985670546642,0.00693527647909942,"Significant",1.98066493751474,7.93230357441588
"AP006222.2",6.24669363106616,-0.985150740454556,0.580205328392356,0.0340854799683201,0.0459331595493055,"Significant",0.176845083706673,1.23515306975966
"AC114498.1",3.71659026573909,-0.405947572096195,0.476658658577772,0.284590274089854,0.326310142606578,"Not significant",0.15326573921245,0.663581107455529
"AL669831.2",2.95867019619332,-1.58329040201174,0.884502153646535,0.00995340416230068,0.0144398451261758,"Significant",0.0589483612355577,0.730496849383818
"LINC01409",990.974231991018,-1.07892057668481,0.102510055421147,7.7425862656834e-26,4.33067923022552e-25,"Significant",24.3338835180382,53.9842748006468
"FAM87B",3.66487516716093,-0.146293708794792,0.573755065217812,0.605253525588422,0.638429559464527,"Not significant",0.200424428200896,0.669157419282886
"LINC01128",284.438249909909,-0.82701854853344,0.114696321808355,1.46417476637253e-13,4.89721550388476e-13,"Significant",9.2077340249941,30.0646852171973
"LINC00115",50.1604910987494,0.0346089782421901,0.292866495007869,0.873269741204486,0.88261622304238,"Not significant",2.51120018863476,6.82540567668544
"FAM41C",1.35093250461338,-0.794706855985054,0.675766926878877,0.014187009233675,0.0201926251484638,"Significant",0.0707380334826692,0.303908994590978
"AL645608.6",3.07945795377861,-3.86770528477229,1.21670209433278,1.25725432457721e-12,3.99599223217463e-12,"Significant",0.0117896722471115,0.805777059053142
"SAMD11",26.3444343858425,-4.51688073320411,0.599260574778332,1.65947304240525e-20,7.66296743493469e-20,"Significant",0.212214100448008,5.85791557463893
"NOC2L",187.277243572018,-0.0228084030968091,0.114812946782406,0.746931620397093,0.767849680965059,"Not significant",8.7950954963452,21.4186137288797
"KLHL17",20.2630440258981,-1.95184816299487,0.309187463971042,3.45395706554761e-14,1.19434679956271e-13,"Significant",0.448007545390238,4.25193776836001
"PLEKHN1",1.15400871687214,-1.87571158492563,0.965930621883056,0.0213559861094279,0.0296215676502664,"Significant",0.0353690167413346,0.395918139742374
"AL645608.7",12.6654628756849,-1.59064291548782,0.439751392259094,2.77588889476732e-05,5.32134125065963e-05,"Significant",0.365479839660457,2.89689399431216
"HES4",190.128902987742,-2.33546741306243,0.320966710159793,4.76142339648658e-13,1.55230650059854e-12,"Significant",5.08134873850507,29.6241565828361
"ISG15",30.9835534366968,-1.93831987513712,0.216071671016115,2.99369571927819e-40,2.59680424134358e-39,"Significant",0.789908040556473,6.8309819885128
"AL645608.1",1.83795104617322,-2.95794606334129,1.23243535631075,2.63362172602032e-06,5.51111217111167e-06,"Significant",0.0117896722471115,0.524173311771594
"AGRN",47.6451158469767,0.689001489965102,0.170691573612039,8.03973528876736e-06,1.61346619247299e-05,"Significant",2.77057297807121,4.77332292421792
"C1orf159",691.29301154684,-0.346869000863677,0.135957621098489,0.00963227753977605,0.0139924399636859,"Significant",21.7401556236737,41.7888808342163
"AL390719.3",69.9351490853064,0.484040223210204,0.414594305834761,0.202374238607346,0.239564231796754,"Not significant",3.97311954727659,7.89605754753806
"LINC01342",2.21658442915066,0.120634553832529,0.641944954552476,0.737521943184981,0.759366031175246,"Not significant",0.0943173779768922,0.289968215022584
"TTLL10",4.88727957783819,-0.939488089118038,0.418831607264458,0.00023401254453891,0.00041098387703261,"Significant",0.176845083706673,0.947973010650756
"TNFRSF18",0.960603603619359,0.753871556578421,0.66154140141315,0.157650627513908,0.190620814189386,"Not significant",0.0825277057297807,0.136619639770256
"TNFRSF4",1.32930118249158,-2.38124214891339,1.19834360815728,3.75094497857955e-05,7.11801450254582e-05,"Significant",0.0117896722471115,0.370824736519266
"SDF4",298.42450854094,0.0281787487402339,0.144575948713872,0.830554685240856,0.843352279880971,"Not significant",14.477717519453,29.6994367925054
"B3GALT6",34.4480637465435,0.684511750619722,0.172170227598599,2.00340403417122e-05,3.89015989676548e-05,"Significant",2.18108936571563,3.73612892432945
"C1QTNF12",3.51475303088739,-0.953530162615246,0.529679604958587,0.00530193296334636,0.00796159113840208,"Significant",0.117896722471115,0.842023085930965
"AL162741.1",0.665254279475502,-0.167999984467533,0.676619896219223,0.258860293409193,0.299313341028555,"Not significant",0.0353690167413346,0.122678860201862
"UBE2J2",328.323267378633,0.536416348447515,0.0954322297390483,6.5654512842906e-09,1.66024294922523e-08,"Significant",16.175430323037,27.3824792282384
"LINC01786",48.8898137707569,-0.608535772312552,0.147356328564224,5.77116151798743e-07,1.27219251174631e-06,"Significant",1.95708559302051,7.63397089165226
"SCNN1D",46.1675761197532,-0.338149009680587,0.180901692484191,0.0427719029385799,0.0568251736971657,"Not significant",2.26361707144541,7.15440807449953
"ACAP3",765.243475351918,-0.219774597253408,0.116265865170907,0.0590604584393429,0.0768493488286919,"Not significant",29.8986088186748,45.5807728768193
"PUSL1",15.6355673839634,0.374980153783748,0.214327997008266,0.0503606423340666,0.0662855853692954,"Not significant",0.954963452016034,2.09948140300006
"INTS11",303.542979593174,0.934606921848044,0.0833100011320924,1.68840944057457e-31,1.15101690466359e-30,"Significant",17.5784013204433,23.6909607985279
"CPTP",24.8755415497907,0.306774266569359,0.185874539704068,0.00884461423793995,0.0129117084179021,"Significant",1.32044329167649,2.92198739753527
"DVL1",133.520269311495,0.132084614372732,0.130194707460918,0.306678755826798,0.349055071299178,"Not significant",7.01485498703136,15.7363519768025
"MXRA8",14.1127917152129,-6.29451554255436,1.27651148824349,3.19925416696257e-24,1.69655547101759e-23,"Significant",0.0589483612355577,3.3764568114649
"AURKAIP1",100.87647892407,1.28720638971125,0.234427512692685,2.46583626365004e-08,6.02803847745781e-08,"Significant",8.28813958971941,10.5726872246696
"CCNL2",801.956107980956,0.242416942340061,0.0602986490958969,4.16521044316048e-05,7.87153448717763e-05,"Significant",33.3411931148314,54.1682930909496
"MRPL20-AS1",24.4019666073337,0.670438310704964,0.197481977697067,0.00024908781375628,0.000436427768555379,"Significant",1.59160575336006,2.90247030613952
"MRPL20",271.241074938328,0.716834082835067,0.0979817665728183,1.32701499815438e-13,4.44766095246767e-13,"Significant",15.7156331053997,24.583170690905
"AL391244.2",23.3131063779609,0.552393329214234,0.176583334522207,6.86360921267166e-06,1.38532487083524e-05,"Significant",1.32044329167649,2.55673897284336
"ANKRD65",120.638986428152,3.90674995432589,0.292904232082928,1.53953592262164e-34,1.15370731261638e-33,"Significant",10.9290261730724,2.76585066636926
"AL391244.1",5.62903308776142,2.95467573782992,0.451282519401659,1.0544686623701e-13,3.55587174400911e-13,"Significant",0.45979721763735,0.175653822561758
"TMEM88B",55.950341662777,7.1584879860704,0.305700787360153,1.20426671528161e-150,9.19256925998299e-149,"Significant",5.18745578872907,0.214688005353259
"LINC01770",8.4062232707879,3.48920116929556,0.419008189002418,3.30602571517074e-19,1.44389044267152e-18,"Significant",0.707380334826692,0.19238275804383
"VWA1",455.993249085741,4.72866558205695,0.258871074363589,3.26806709902643e-57,4.36589615368237e-56,"Significant",33.2586654091016,6.19249428428038
"ATAD3C",84.1706237768697,3.08369619306129,0.286910322242676,6.22682219738277e-25,3.38101311962218e-24,"Significant",6.9559066257958,2.47867060726036
"ATAD3B",191.8244912167,-0.077453877651976,0.0994972842210536,0.427151784093867,0.46885009693639,"Not significant",8.63004008488564,21.4102492611387
"ATAD3A",110.639365090917,-0.495105632596531,0.111526744114748,3.425533543749e-06,7.09639365112872e-06,"Significant",4.25607168120726,14.7326158478782
"TMEM240",80.1899369893878,-2.16167703814673,0.279773029032483,2.86983465189844e-15,1.05263022202575e-14,"Significant",1.79203018156095,16.1322701165449
"SSU72",286.034092013038,0.120748208582755,0.06599531548689,0.063294287380074,0.0819895831622718,"Not significant",14.0179203018156,29.0916188033235
"AL645728.1",40.0149193367323,-0.116910495337478,0.257019213614093,0.640265890378101,0.670777989614572,"Not significant",1.70950247583117,5.21942787040651
"FNDC10",7.8875638380928,-2.05295097390359,0.45298818502162,3.10026889477655e-11,9.08847762198205e-11,"Significant",0.247583117189342,1.87642892990576
